MCA_ch Residual MCA_ch_error Residual_error
1443.8406336164498 -0.020185817818372698 3.247862689133657 0.025822863680552387
1678.7904927668656 -0.025631527493146677 3.3207004910499425 0.031871508098728844
1816.9046228917612 0.024111823396822274 3.392458289286461 0.02710019870915892
3534.074515685902 0.00938899097650392 3.979597895527447 0.02048113541613834
4408.3252138335865 -0.009401904129617833 4.248327732720129 0.022941868048315602
4626.752822652523 -0.12061582663261561 4.5319447457135045 0.028975284879907054
4761.297152873599 0.13962975251888565 4.393078590124179 0.09246521362174112
5216.530249603513 0.026878972429926762 4.489040954740688 0.029938827743145394
9827.794331245204 0.0067634642828124925 5.6832065646773815 0.045803241467596206
15855.681739558497 -0.041545051691173285 7.055450136852239 0.08300193297337567
