Energy Residual Energy_error Residual_error
238.632 0.12244622489168655 0.002 0.15664028091536514
277.37 0.1554796445694018 0.02 0.19333107449043496
300.089 -0.14626119074099228 0.012 0.16438853533745887
583.187 -0.056953179254824696 0.002 0.12423760759987547
727.33 0.0570315098364476 0.01 0.13916429642610897
763.45 0.7316499517751291 0.02 0.17576272017458458
785.37 -0.8469875351265959 0.09 0.5608896525104123
860.53 -0.16304658709525502 0.02 0.1816075260272103
1620.738 -0.04102685737440739 0.01 0.2778403162048174
2614.511 0.2520103365781909 0.01 0.5034858355876103
