Energy Residual Energy_error Residual_error
238.632 0.07745042806486838 0.002 0.14637480003833286
277.37 0.15358491064161814 0.02 0.18573580614717486
300.089 -0.12251944434981554 0.012 0.1556610682765058
583.187 -0.021202331268412672 0.002 0.11566352047288038
727.33 0.06815338865219181 0.01 0.1314681245155134
763.45 0.6188875676616197 0.02 0.1696550366482625
785.37 -0.8281340279002212 0.09 0.5595426392850253
860.53 -0.15003695619852594 0.02 0.17505206295336445
1620.738 -0.02561983754401921 0.01 0.26202818505690684
2614.511 0.22395468181764108 0.01 0.4745038290050082
