MCA_ch Resolution MCA_ch_error Resolution_error
1445.4902784711526 3.127374035616529 3.127374035616529 0.011718495746371304
1680.6629447449984 3.2714243413030686 3.2714243413030686 0.02187423030932528
1818.907387795461 3.3556468500001024 3.3556468500001024 0.018613401819897613
3538.008533291233 3.8875997488498997 3.8875997488498997 0.011474821006809244
4413.2732972324475 4.133174614582622 4.133174614582622 0.01671693987306234
4632.072727835357 4.201373124862091 4.201373124862091 0.06934489956871545
4766.635907017288 4.294653915510437 4.294653915510437 0.04981624388766833
5222.390766341186 4.364825111792142 4.364825111792142 0.023273678287510115
9838.87072542777 5.567648584510243 5.567648584510243 0.05379161085631625
15873.623125045237 7.0046001656275605 7.0046001656275605 0.02706191271122812
