Energy Residual Energy_error Residual_error
185.72 -0.944116423668872 0.1 0.6455810922471016
238.632 0.4459527500326741 0.002 0.21275584775376938
338.32 0.3492373980353276 0.1 0.6384545328926533
583.187 0.22071013347221477 0.002 0.17504926608408652
860.53 -0.1561909417634283 0.02 0.20895978146498226
1120.29 -0.025247394527433235 0.01 0.19854066955948024
1460.88 0.1638234784062232 0.01 0.24583588383293997
1764.49 -0.3754209845201663 0.01 0.3012628963041941
2204.21 0.39413356322172677 0.1 0.7200656362308403
2614.511 -0.38195060851019075 0.01 0.48340876918147
