MCA_ch Resolution MCA_ch_error Resolution_error
1444.5997276443848 3.274892451517888 3.274892451517888 0.006788514209250713
1679.6685183923069 3.3758263804614796 3.3758263804614796 0.018418894218874094
1817.7967669470977 3.439921542310612 3.439921542310612 0.012473267947822128
3535.6690415480643 4.022432936307003 4.022432936307003 0.012973135160182203
4410.246443069345 4.281634924703296 4.281634924703296 0.012647632982744869
4628.970395061654 4.1878367646503225 4.1878367646503225 0.05967413208625506
4763.441674196702 4.370316507594301 4.370316507594301 0.04030629340814446
5218.7704624894 4.527974109069745 4.527974109069745 0.016554195164778584
9831.908734558381 5.6968919368551925 5.6968919368551925 0.045856531604635806
15862.271811190863 7.114001488204359 7.114001488204359 0.02152608221522586
