Energy Residual Energy_error Residual_error
80.9971 0.5640715245853706 0.0014 0.11423724470290739
121.7817 0.17871749408473517 0.0003 0.1087491575978516
238.632 -0.08617044062484648 0.002 0.09640806630416054
244.6974 -0.13637382724203131 0.0008 0.09516167829775724
276.398 -0.20113134651840323 0.002 0.09288376824769151
277.37 0.06354462561606464 0.02 0.15278891083186588
300.089 -0.2611020476239625 0.012 0.11604630943471377
302.853 -0.143135452809569 0.001 0.09003611734203495
344.2785 -0.06937349668263251 0.0012 0.08704759692502313
356.017 0.03105935360187649 0.002 0.08682872223311049
383.851 -0.052681205986653476 0.003 0.08628996891851143
583.187 0.04218283614631896 0.002 0.08244498484155799
727.33 0.014016071184755723 0.01 0.10822945855405432
763.45 0.6372079833152331 0.02 0.15307059756422156
778.904 0.11425109858196299 0.0018 0.09453705732226862
785.37 -1.2531116418874129 0.09 0.5570259388279634
860.53 0.0023417262350403554 0.02 0.15928128210035936
867.378 -0.08268378885382999 0.004 0.1060467740426683
964.079 0.15644822259622165 0.018 0.15910511359979396
1085.869 0.1732323714843355 0.024 0.19718142511808326
1112.074 0.1773847772631144 0.004 0.13813166976515817
1408.006 0.2185921161170994 0.003 0.18363657326828856
1620.738 -0.007510563167690038 0.01 0.22692203791376195
2614.511 -0.07977638936066404 0.01 0.39918346133235977
