238.632	0.002	1064	3.3	1045	1090
277.37	0.02	1236	3.9	1223	1250
300.089	0.012	1338	3.9	1320	1352
583.187	0.002	2596	4.1	2550	2620
727.33	0.01	3237	4.7	3200	3270
763.45	0.02	3397	5.4	3380	3412
785.37	0.09	3496	5.4	3475	3515
860.53	0.02	3830	5.5	3800	3860
1620.738	0.010	7210	9.7	7170	7240
2614.511	0.010	11630	11	11550	11700
