MCA_ch Residual MCA_ch_error Residual_error
490.85614358615254 -0.13934216973433422 2.6779547256914187 0.05090201409030627
739.2981195005566 -0.18161888898802658 2.832400511792867 0.0484797100911843
1452.9906683702668 0.0036221407001448824 3.141509558576204 0.04244472773193949
1489.2287715785033 -0.11939013709684332 3.0891430560456534 0.042135726274714846
1683.5307392771117 0.04173747811302064 3.22886425745215 0.040808978677790264
1689.357801248906 0.025255323745398073 3.267483615801284 0.04536737253830071
1828.229959425114 0.0783097433218245 3.319151096928983 0.04159875875428441
1844.9600124517644 0.057664974905208055 3.2307525590301474 0.039740661665864874
2096.608283802872 -0.10351274345958927 3.351679244576803 0.03834718844858875
2169.3200455248257 0.08085265582172951 3.3905932034861412 0.038027431489139354
2339.1436804501514 0.09334666710662987 3.4093370687350557 0.03736413568101994
3555.394139289011 0.18020310998872446 3.905219921789919 0.03640013442304868
4434.746474052303 0.2101838762883972 4.193013714145492 0.041611767405669735
4654.664610164821 0.1452056245221911 4.092632440409798 0.046435149639701925
4747.20208970753 -0.1376701030071672 4.185116083495722 0.042632742403232976
4789.8259335575285 0.38429479319677284 4.270845735485948 0.09971051559403375
5247.610566902027 0.2745061332249179 4.486178674626028 0.0508540023584841
5286.734500343066 -0.15953930850434972 4.332106089532494 0.04727901074820898
5876.285844374283 -0.21190708320762042 4.525884001642418 0.05581483181255509
6618.933129066852 -0.2608714979571687 4.845328318757701 0.06542340978943946
6778.981100156106 -0.2302577291416128 4.683227421929863 0.06280974183536443
8583.702633940307 -0.3458746949172564 5.171820109974334 0.08463432536877338
9885.515835437664 0.2830005896755665 6.027344607841198 0.10181689599594443
15948.97076530866 0.031801245404494694 7.0670317574363155 0.18316560094764095
